epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.144,0.75854,2.7164,1.3187,0.69679,0.63099,0.70354,0.58961,0.49731,1.14683,1.1044,0.00332639,0.00332639,0.00332639
2,288.346,0.81903,1.81707,1.32078,0.63552,0.567,0.63377,0.50881,0.62253,1.2885,1.22383,0.0066581,0.0066581,0.0066581
3,422.468,0.94806,1.92152,1.40019,0.43378,0.41862,0.37852,0.22503,1.35591,2.1205,2.20104,0.00998329,0.00998329,0.00998329
4,555.414,1.00928,1.90527,1.44049,0.57877,0.59799,0.58636,0.46362,0.6889,1.46963,1.28024,0.00997803,0.00997803,0.00997803
5,688.566,0.95463,1.65872,1.39438,0.66697,0.59608,0.64041,0.5149,0.62534,1.10764,1.21712,0.00996097,0.00996097,0.00996097
6,821.746,0.90592,1.4926,1.35294,0.68167,0.61698,0.70173,0.5805,0.58251,1.01251,1.14841,0.00993906,0.00993906,0.00993906
7,954.62,0.86536,1.36974,1.33337,0.60849,0.67079,0.69641,0.57108,0.59255,1.02155,1.18825,0.00991232,0.00991232,0.00991232
8,1087.67,0.83469,1.28672,1.30888,0.75954,0.73505,0.81339,0.70092,0.4999,0.75755,1.08341,0.00988079,0.00988079,0.00988079
9,1220.69,0.81235,1.22135,1.28769,0.78777,0.72185,0.81527,0.69808,0.48895,0.71245,1.0759,0.00984449,0.00984449,0.00984449
10,1354.4,0.78752,1.15245,1.27022,0.83608,0.7346,0.83375,0.72044,0.46665,0.68554,1.05678,0.00980345,0.00980345,0.00980345
11,1486.97,0.78338,1.1068,1.2648,0.77655,0.80228,0.83905,0.73193,0.46712,0.64104,1.05654,0.00975773,0.00975773,0.00975773
12,1620.1,0.74982,1.0747,1.24277,0.83161,0.77758,0.85895,0.75271,0.45382,0.60009,1.03687,0.00970736,0.00970736,0.00970736
13,1752.91,0.73712,1.02634,1.23578,0.83058,0.81345,0.87199,0.77133,0.41912,0.56888,1.01554,0.00965239,0.00965239,0.00965239
14,1885.84,0.7347,1.01014,1.23018,0.86096,0.81073,0.88171,0.79229,0.39898,0.53842,0.99934,0.00959289,0.00959289,0.00959289
15,2018.59,0.72291,0.97519,1.2274,0.73677,0.78992,0.82536,0.72823,0.43978,0.61134,1.04344,0.00952889,0.00952889,0.00952889
16,2150.96,0.71579,0.94772,1.2212,0.83999,0.79129,0.87449,0.78224,0.39487,0.55273,0.99947,0.00946048,0.00946048,0.00946048
17,2283.68,0.70821,0.93507,1.21617,0.84121,0.80751,0.87162,0.77834,0.39499,0.55166,1.00134,0.00938772,0.00938772,0.00938772
18,2416.37,0.69657,0.89393,1.2103,0.85532,0.8053,0.87501,0.79195,0.38302,0.52617,0.98931,0.00931067,0.00931067,0.00931067
19,2548.66,0.69492,0.88525,1.20654,0.86016,0.82409,0.89052,0.80211,0.39181,0.47678,0.99848,0.00922942,0.00922942,0.00922942
20,2681.44,0.6839,0.86616,1.20299,0.8502,0.82324,0.89064,0.80246,0.38421,0.49431,0.98307,0.00914405,0.00914405,0.00914405
21,2813.81,0.67406,0.85233,1.193,0.8361,0.84336,0.89375,0.81881,0.35905,0.46942,0.96912,0.00905463,0.00905463,0.00905463
22,2946.41,0.66446,0.8332,1.18703,0.85288,0.85124,0.89556,0.81557,0.37842,0.48205,0.97925,0.00896127,0.00896127,0.00896127
23,3078.88,0.6623,0.81471,1.18286,0.87548,0.82282,0.89396,0.81797,0.35235,0.45006,0.96223,0.00886404,0.00886404,0.00886404
24,3211.3,0.65551,0.79199,1.18071,0.88272,0.86033,0.90959,0.83112,0.36203,0.43386,0.96729,0.00876305,0.00876305,0.00876305
25,3343.61,0.64889,0.78453,1.17127,0.85663,0.87305,0.9132,0.84278,0.35,0.42047,0.9623,0.00865839,0.00865839,0.00865839
26,3475.78,0.64556,0.77421,1.17374,0.85599,0.84169,0.89559,0.82749,0.34351,0.43285,0.95379,0.00855018,0.00855018,0.00855018
27,3608.25,0.63714,0.767,1.16501,0.82648,0.86889,0.88543,0.81822,0.34567,0.4329,0.9523,0.00843851,0.00843851,0.00843851
28,3740.62,0.63604,0.75815,1.16766,0.85962,0.86655,0.90577,0.83269,0.33754,0.41381,0.94997,0.00832349,0.00832349,0.00832349
29,3873.36,0.63127,0.75374,1.16702,0.88291,0.85373,0.91025,0.83732,0.34846,0.42745,0.95966,0.00820525,0.00820525,0.00820525
30,4006.84,0.6279,0.7304,1.16153,0.8727,0.86902,0.91692,0.84529,0.33492,0.3905,0.9452,0.00808389,0.00808389,0.00808389
31,4139.87,0.62083,0.71993,1.15727,0.88712,0.84004,0.91993,0.84799,0.3336,0.3896,0.9443,0.00795954,0.00795954,0.00795954
32,4273.03,0.61907,0.71781,1.15319,0.909,0.85183,0.91562,0.85074,0.32878,0.38174,0.95022,0.00783231,0.00783231,0.00783231
33,4405.81,0.6143,0.71753,1.15251,0.90196,0.86437,0.92483,0.85801,0.32502,0.37615,0.93735,0.00770234,0.00770234,0.00770234
34,4538.66,0.60115,0.68386,1.14397,0.87776,0.88937,0.92197,0.8497,0.32796,0.37815,0.94341,0.00756976,0.00756976,0.00756976
35,4671.28,0.60084,0.69024,1.14691,0.8966,0.86788,0.91616,0.84732,0.31531,0.38133,0.93016,0.00743468,0.00743468,0.00743468
36,4804.39,0.59628,0.67694,1.13949,0.88709,0.87089,0.91845,0.84984,0.32121,0.36829,0.94288,0.00729725,0.00729725,0.00729725
37,4937.4,0.60099,0.67125,1.14216,0.87424,0.88855,0.91427,0.85157,0.30805,0.37173,0.92675,0.00715761,0.00715761,0.00715761
38,5070.31,0.59228,0.66644,1.13585,0.90477,0.86492,0.9195,0.85151,0.30791,0.36525,0.92352,0.00701588,0.00701588,0.00701588
39,5203.28,0.58408,0.64342,1.13417,0.91104,0.86034,0.92614,0.86599,0.30013,0.35818,0.91363,0.00687222,0.00687222,0.00687222
40,5336.19,0.59335,0.65914,1.13849,0.89196,0.87714,0.9192,0.85965,0.29592,0.35061,0.92103,0.00672675,0.00672675,0.00672675
41,5469.65,0.57552,0.63252,1.12831,0.92426,0.8777,0.92599,0.86556,0.28566,0.33905,0.90151,0.00657963,0.00657963,0.00657963
42,5602.49,0.57262,0.632,1.12707,0.90842,0.8894,0.92363,0.8663,0.29163,0.34917,0.91619,0.00643101,0.00643101,0.00643101
43,5735.34,0.56277,0.6271,1.12107,0.91305,0.88469,0.91983,0.86691,0.28339,0.34316,0.91054,0.00628101,0.00628101,0.00628101
44,5868.05,0.5728,0.61515,1.12484,0.91311,0.89162,0.92831,0.87214,0.28886,0.31967,0.90993,0.00612981,0.00612981,0.00612981
45,6000.53,0.56311,0.60622,1.11852,0.91595,0.87775,0.9261,0.87321,0.2824,0.32525,0.90434,0.00597754,0.00597754,0.00597754
46,6133.26,0.5637,0.61268,1.11882,0.89672,0.88582,0.92803,0.86954,0.28533,0.32098,0.90806,0.00582435,0.00582435,0.00582435
