epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,78.7213,1.49443,0.66172,0.95231,1.12053,0.00332016,0.00332016,0.00332016
2,155.616,0.92485,0.71114,0.97134,0.86758,0.00664334,0.00664334,0.00664334
3,231.751,0.85351,0.45688,0.88683,1.80881,0.00992596,0.00992596,0.00992596
4,309.012,0.9544,0.75809,0.98048,0.71745,0.00986323,0.00986323,0.00986323
5,385.444,0.73462,0.82184,0.98592,0.53477,0.00975773,0.00975773,0.00975773
6,461.711,0.63172,0.79886,0.97974,0.62604,0.0096232,0.0096232,0.0096232
7,537.425,0.58384,0.77415,0.98048,0.70786,0.00946048,0.00946048,0.00946048
8,613.553,0.55525,0.8594,0.98888,0.45282,0.00927057,0.00927057,0.00927057
9,688.805,0.52197,0.7917,0.98616,0.647,0.00905463,0.00905463,0.00905463
10,763.657,0.49532,0.89128,0.99358,0.34696,0.00881401,0.00881401,0.00881401
11,838.514,0.47841,0.89128,0.99506,0.34606,0.00855018,0.00855018,0.00855018
12,915.146,0.45042,0.85743,0.99061,0.45285,0.00826477,0.00826477,0.00826477
13,989.856,0.42142,0.89474,0.99407,0.33339,0.00795954,0.00795954,0.00795954
14,1064.51,0.40489,0.8636,0.99135,0.42278,0.00763637,0.00763637,0.00763637
15,1140.29,0.39436,0.84235,0.98715,0.49552,0.00729725,0.00729725,0.00729725
16,1216.19,0.37279,0.89968,0.99531,0.31889,0.00694428,0.00694428,0.00694428
17,1292.16,0.35878,0.91203,0.99531,0.27738,0.00657963,0.00657963,0.00657963
18,1367.45,0.33835,0.91426,0.99506,0.28012,0.00620555,0.00620555,0.00620555
19,1443.22,0.30325,0.91722,0.99506,0.25593,0.00582435,0.00582435,0.00582435
20,1519.15,0.31003,0.91599,0.99531,0.26654,0.00543837,0.00543837,0.00543837
21,1594.03,0.28672,0.92167,0.99531,0.2483,0.00505,0.00505,0.00505
22,1668.88,0.27716,0.92538,0.99654,0.24133,0.00466163,0.00466163,0.00466163
23,1743.61,0.26015,0.93081,0.99728,0.21965,0.00427565,0.00427565,0.00427565
24,1819.05,0.25642,0.93205,0.99778,0.2161,0.00389445,0.00389445,0.00389445
25,1893.89,0.23118,0.93328,0.99728,0.20939,0.00352037,0.00352037,0.00352037
26,1969.25,0.21417,0.9407,0.99778,0.20154,0.00315572,0.00315572,0.00315572
27,2044.74,0.19894,0.93748,0.99778,0.20157,0.00280275,0.00280275,0.00280275
28,2119.82,0.19562,0.93971,0.99703,0.19628,0.00246363,0.00246363,0.00246363
29,2195.1,0.1681,0.94391,0.99827,0.19246,0.00214046,0.00214046,0.00214046
30,2270.36,0.16647,0.94119,0.99778,0.18685,0.00183523,0.00183523,0.00183523
31,2349.48,0.16034,0.94218,0.99852,0.18946,0.00154982,0.00154982,0.00154982
32,2424.94,0.15274,0.94465,0.99827,0.19111,0.00128599,0.00128599,0.00128599
33,2500.66,0.13556,0.94218,0.99802,0.1964,0.00104537,0.00104537,0.00104537
34,2576.7,0.13352,0.94589,0.99852,0.18641,0.000829431,0.000829431,0.000829431
35,2652.91,0.13334,0.94416,0.99827,0.18397,0.000639518,0.000639518,0.000639518
36,2727.78,0.12413,0.94638,0.99778,0.18296,0.000476796,0.000476796,0.000476796
37,2803.15,0.11695,0.94663,0.99802,0.18172,0.00034227,0.00034227,0.00034227
38,2878.68,0.11425,0.94687,0.99802,0.1851,0.000236769,0.000236769,0.000236769
39,2953.2,0.11772,0.94687,0.99802,0.18012,0.000160943,0.000160943,0.000160943
40,3029.28,0.10717,0.94687,0.99802,0.18003,0.000115259,0.000115259,0.000115259
