epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.964,1.26771,3.64686,1.16125,0.72184,0.08621,0.0871,0.05956,1.25527,3.6088,1.07545,0.000365396,0.000365396,0.000365396
2,218.01,1.33583,2.76893,1.19082,0.16476,0.21729,0.10216,0.06296,1.37087,2.97382,1.22061,0.000721161,0.000721161,0.000721161
3,333.42,1.33913,2.59774,1.22834,0.38692,0.19215,0.11353,0.06916,1.42431,2.93171,1.24794,0.00106226,0.00106226,0.00106226
4,446.118,1.35677,2.4367,1.24628,0.42955,0.24337,0.17826,0.11019,1.38106,2.66972,1.25589,0.00104501,0.00104501,0.00104501
5,553.434,1.31513,2.35864,1.2274,0.35479,0.20704,0.13753,0.08518,1.3681,2.7209,1.23816,0.00102301,0.00102301,0.00102301
6,657.86,1.25573,2.16862,1.19858,0.50372,0.22105,0.15438,0.09733,1.27945,2.74375,1.21512,0.00100101,0.00100101,0.00100101
7,761.513,1.24358,2.11802,1.19779,0.5921,0.19343,0.15435,0.09944,1.31658,2.33447,1.22135,0.000979013,0.000979013,0.000979013
8,865.98,1.2437,2.06634,1.19074,0.28841,0.24824,0.17434,0.11772,1.26663,2.28818,1.17714,0.000957015,0.000957015,0.000957015
9,970.687,1.21361,1.97629,1.18187,0.3985,0.20836,0.17243,0.11587,1.2638,2.38414,1.18708,0.000935018,0.000935018,0.000935018
10,1074.26,1.21287,1.96317,1.17474,0.36349,0.21851,0.14928,0.09581,1.2812,2.23413,1.20669,0.00091302,0.00091302,0.00091302
11,1178.54,1.19437,1.89331,1.15711,0.45182,0.22507,0.17765,0.12605,1.28573,2.13816,1.19372,0.000891022,0.000891022,0.000891022
12,1281.83,1.14715,1.82549,1.148,0.23287,0.239,0.18221,0.12676,1.23135,2.11484,1.16374,0.000869024,0.000869024,0.000869024
13,1385.37,1.15099,1.80952,1.1405,0.22655,0.27911,0.1817,0.13083,1.24699,2.12107,1.18206,0.000847026,0.000847026,0.000847026
14,1484.83,1.1448,1.78973,1.14097,0.25175,0.2345,0.19845,0.14007,1.25574,2.04011,1.17977,0.000825029,0.000825029,0.000825029
