epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,70.1617,1.42852,0.72305,0.96785,0.84291,0.00332675,0.00332675,0.00332675
2,136.858,0.95682,0.66518,0.95945,1.04816,0.00665556,0.00665556,0.00665556
3,200.702,1.01105,0.65727,0.95401,1.29453,0.00996631,0.00996631,0.00996631
4,265.469,1.12756,0.73739,0.96884,0.81881,0.00993906,0.00993906,0.00993906
5,326.44,0.87187,0.78536,0.97181,0.67648,0.00989183,0.00989183,0.00989183
6,388.47,0.76473,0.78882,0.98022,0.65464,0.00983133,0.00983133,0.00983133
7,449.868,0.71204,0.82938,0.98269,0.53066,0.00975773,0.00975773,0.00975773
8,510.748,0.65586,0.81701,0.98022,0.55292,0.00967122,0.00967122,0.00967122
9,574.849,0.6228,0.8185,0.98764,0.57361,0.00957205,0.00957205,0.00957205
10,636.241,0.60086,0.84421,0.98318,0.5071,0.00946048,0.00946048,0.00946048
11,696.094,0.568,0.8546,0.98417,0.43648,0.00933683,0.00933683,0.00933683
12,753.364,0.56164,0.85954,0.98863,0.43893,0.00920142,0.00920142,0.00920142
13,809.167,0.52835,0.86845,0.98912,0.40604,0.00905463,0.00905463,0.00905463
14,866.898,0.51033,0.88675,0.9911,0.36799,0.00889687,0.00889687,0.00889687
15,923.062,0.49686,0.88675,0.98961,0.36625,0.00872857,0.00872857,0.00872857
16,980.484,0.47937,0.88823,0.99258,0.34383,0.00855018,0.00855018,0.00855018
17,1035.34,0.47297,0.88427,0.99258,0.3683,0.0083622,0.0083622,0.0083622
18,1090.84,0.45221,0.90158,0.99357,0.3164,0.00816514,0.00816514,0.00816514
19,1145.18,0.44574,0.90158,0.9906,0.31728,0.00795954,0.00795954,0.00795954
20,1199.65,0.4238,0.90851,0.99308,0.28958,0.00774596,0.00774596,0.00774596
21,1258.54,0.40394,0.90752,0.99505,0.29709,0.007525,0.007525,0.007525
22,1316.8,0.41052,0.90653,0.99357,0.28904,0.00729725,0.00729725,0.00729725
23,1372.38,0.38571,0.90702,0.99703,0.29272,0.00706335,0.00706335,0.00706335
24,1425.97,0.38317,0.91197,0.99555,0.26535,0.00682392,0.00682392,0.00682392
25,1479.6,0.36315,0.91098,0.99703,0.26219,0.00657963,0.00657963,0.00657963
26,1534.13,0.34746,0.91642,0.99308,0.25678,0.00633115,0.00633115,0.00633115
27,1587.9,0.33741,0.91296,0.99703,0.25184,0.00607916,0.00607916,0.00607916
28,1643.13,0.33379,0.92087,0.99555,0.24621,0.00582435,0.00582435,0.00582435
29,1696.72,0.32054,0.92483,0.99456,0.24724,0.00556742,0.00556742,0.00556742
30,1750.91,0.31161,0.92186,0.99555,0.24107,0.00530906,0.00530906,0.00530906
31,1804.48,0.30551,0.92928,0.99654,0.23519,0.00505,0.00505,0.00505
32,1863.25,0.29087,0.93472,0.99604,0.22112,0.00479094,0.00479094,0.00479094
33,1920.65,0.27963,0.92977,0.99654,0.22293,0.00453258,0.00453258,0.00453258
34,1977.28,0.27047,0.93274,0.99604,0.21383,0.00427565,0.00427565,0.00427565
35,2033.26,0.25623,0.93769,0.99753,0.20675,0.00402084,0.00402084,0.00402084
36,2099.02,0.24231,0.9367,0.99703,0.20718,0.00376885,0.00376885,0.00376885
37,2160.08,0.23739,0.93719,0.99753,0.20892,0.00352037,0.00352037,0.00352037
38,2218.94,0.2338,0.93719,0.99802,0.20048,0.00327608,0.00327608,0.00327608
39,2283.16,0.21003,0.93719,0.99802,0.20703,0.00303665,0.00303665,0.00303665
40,2345.81,0.20865,0.93966,0.99802,0.21125,0.00280275,0.00280275,0.00280275
41,2403.24,0.20177,0.9367,0.99703,0.20784,0.002575,0.002575,0.002575
42,2464.57,0.18748,0.94164,0.99604,0.20388,0.00235404,0.00235404,0.00235404
43,2522.3,0.18143,0.94016,0.99703,0.20485,0.00214046,0.00214046,0.00214046
44,2578.9,0.16899,0.94263,0.99703,0.19242,0.00193486,0.00193486,0.00193486
45,2636.53,0.1584,0.9451,0.99753,0.19574,0.0017378,0.0017378,0.0017378
46,2697.11,0.15801,0.94659,0.99753,0.19304,0.00154982,0.00154982,0.00154982
47,2757.79,0.15833,0.9456,0.99703,0.19748,0.00137143,0.00137143,0.00137143
48,2815.87,0.13532,0.9456,0.99753,0.1999,0.00120313,0.00120313,0.00120313
49,2874.53,0.13513,0.9456,0.99753,0.20215,0.00104537,0.00104537,0.00104537
50,2932.28,0.1414,0.94659,0.99802,0.19985,0.000898581,0.000898581,0.000898581
51,3008.56,0.1237,0.9456,0.99802,0.19929,0.000763174,0.000763174,0.000763174
52,3069.67,0.12454,0.94659,0.99802,0.19669,0.000639518,0.000639518,0.000639518
53,3131.66,0.11469,0.94758,0.99802,0.19935,0.00052795,0.00052795,0.00052795
54,3194.83,0.11146,0.94659,0.99802,0.19576,0.000428777,0.000428777,0.000428777
55,3255.9,0.10728,0.94659,0.99802,0.1978,0.00034227,0.00034227,0.00034227
56,3313.44,0.10928,0.94659,0.99753,0.19972,0.000268667,0.000268667,0.000268667
57,3372.14,0.10575,0.94609,0.99753,0.2,0.000208169,0.000208169,0.000208169
58,3429.74,0.09981,0.9456,0.99753,0.20039,0.000160943,0.000160943,0.000160943
59,3488.1,0.09969,0.94708,0.99753,0.1997,0.000127117,0.000127117,0.000127117
60,3546.68,0.09837,0.94758,0.99802,0.20404,0.000106784,0.000106784,0.000106784
