epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,116.219,1.07862,0.87601,0.99089,0.37993,0.000237759,0.000237759,0.000237759
2,222.027,0.56735,0.89676,0.99393,0.31907,0.000460059,0.000460059,0.000460059
3,327.468,0.52269,0.90233,0.99443,0.33986,0.000666651,0.000666651,0.000666651
4,431.637,0.45884,0.90132,0.99646,0.28592,0.000643314,0.000643314,0.000643314
5,528.827,0.40337,0.92055,0.99696,0.2654,0.000619752,0.000619752,0.000619752
6,625.74,0.3637,0.93877,0.99646,0.19566,0.00059619,0.00059619,0.00059619
7,721.743,0.32794,0.93067,0.99747,0.22236,0.000572628,0.000572628,0.000572628
8,817.622,0.30289,0.94079,0.99696,0.20012,0.000549066,0.000549066,0.000549066
9,912.221,0.27836,0.93674,0.99798,0.1993,0.000525504,0.000525504,0.000525504
10,1006.93,0.25498,0.93775,0.99696,0.20903,0.000501942,0.000501942,0.000501942
11,1102.49,0.2379,0.94889,0.99747,0.16942,0.00047838,0.00047838,0.00047838
12,1196.92,0.22907,0.94484,0.99798,0.17581,0.000454818,0.000454818,0.000454818
13,1292.2,0.21025,0.94889,0.99747,0.17495,0.000431256,0.000431256,0.000431256
14,1390.43,0.1905,0.94737,0.99899,0.17717,0.000407694,0.000407694,0.000407694
15,1489.69,0.17702,0.95192,0.99798,0.16755,0.000384132,0.000384132,0.000384132
16,1588.07,0.16437,0.9499,0.99848,0.1679,0.00036057,0.00036057,0.00036057
17,1688.04,0.15122,0.9585,0.99798,0.14894,0.000337008,0.000337008,0.000337008
18,1785.67,0.13412,0.96508,0.99949,0.14799,0.000313446,0.000313446,0.000313446
19,1884.98,0.12367,0.95951,0.99949,0.14671,0.000289884,0.000289884,0.000289884
20,1985.21,0.1198,0.96407,0.99899,0.13742,0.000266322,0.000266322,0.000266322
21,2130.06,0.1067,0.96559,0.99949,0.14158,0.00024276,0.00024276,0.00024276
22,2232.99,0.10644,0.96609,0.99949,0.14076,0.000219198,0.000219198,0.000219198
23,2335.56,0.09146,0.958,0.99747,0.14899,0.000195636,0.000195636,0.000195636
24,2438.04,0.07949,0.96204,0.99899,0.14709,0.000172074,0.000172074,0.000172074
25,2540.74,0.07294,0.96356,0.99899,0.13872,0.000148512,0.000148512,0.000148512
26,2643.78,0.068,0.96711,0.99949,0.1371,0.00012495,0.00012495,0.00012495
27,2747.63,0.06519,0.96711,0.99899,0.14151,0.000101388,0.000101388,0.000101388
28,2851.86,0.06116,0.96255,0.99848,0.14922,7.7826e-05,7.7826e-05,7.7826e-05
29,2954.88,0.05286,0.96154,0.99899,0.13895,5.4264e-05,5.4264e-05,5.4264e-05
30,3058.07,0.05466,0.96457,0.99899,0.13773,3.0702e-05,3.0702e-05,3.0702e-05
